
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価
2位,スター・ウォーズ エピソード3/シスの復讐,0.316327,5
3位,天空の城ラピュタ,0.316327,5
4位,プライベート・ライアン,0.217007,4
5位,水戸黄門 天下の副将軍,0.201361,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

16人目への推薦結果
1位,ラストサムライ,0.717949,5
2位,禁じられた遊び,0.361538,5
3位,アポロ13,0.220513,5
4位,マトリックス・レボリューションズ,0.191453,3
5位,天空の城ラピュタ,0.185470,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

17人目への推薦結果
1位,プライベート・ライアン,0.557500,4
2位,マトリックス・レボリューションズ,0.346667,3
3位,戦国自衛隊,0.254167,3
4位,ウォーターボーイズ,0.238333,4
5位,パラサイト・イヴ,0.216667,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

18人目への推薦結果
1位,水戸黄門 天下の副将軍,0.379798,5
2位,アポロ13,0.202020,5
3位,マトリックス・レボリューションズ,0.193939,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.187879,5
5位,スター・ウォーズ,0.187879,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

19人目への推薦結果
1位,オペラ座の怪人,0.585380,3
2位,マトリックス・レボリューションズ,0.280702,3
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.271930,4
4位,天空の城ラピュタ,0.271930,3
5位,走れメロス,0.149123,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

20人目への推薦結果
1位,水戸黄門 天下の副将軍,0.335714,4
2位,マトリックス・レボリューションズ,0.203175,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.196825,4
4位,天空の城ラピュタ,0.196825,5
5位,アポロ13,0.178571,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

21人目への推薦結果
1位,バトル・ロワイアル,0.521739,5
2位,バトル・ロワイアル,0.521739,5
3位,天空の城ラピュタ,0.194686,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.194686,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.194686,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

22人目への推薦結果
1位,アイ.ロボット,0.451389,3
2位,バトル・ロワイアル,0.451389,3
3位,水戸黄門 天下の副将軍,0.359028,3
4位,マトリックス・レボリューションズ,0.266667,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.258333,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

23人目への推薦結果
1位,水戸黄門 天下の副将軍,0.621930,5
2位,禁じられた遊び,0.371053,5
3位,アポロ13,0.270175,5
4位,スウィングガールズ,0.210526,5
5位,マトリックス・レボリューションズ,0.168421,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

24人目への推薦結果
1位,ラストサムライ,1.070423,3
2位,禁じられた遊び,0.443192,4
3位,天空の城ラピュタ,0.276526,4
4位,水戸黄門 天下の副将軍,0.243192,5
5位,プライベート・ライアン,0.204225,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

25人目への推薦結果
1位,アイ.ロボット,0.579167,5
2位,バトル・ロワイアル,0.579167,5
3位,オペラ座の怪人,0.475000,5
4位,水戸黄門 天下の副将軍,0.359028,5
5位,アポロ13,0.190972,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

26人目への推薦結果
1位,水戸黄門 天下の副将軍,0.322549,3
2位,天空の城ラピュタ,0.273529,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.273529,3
4位,スター・ウォーズ,0.273529,4
5位,ウォーターボーイズ,0.194118,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

27人目への推薦結果
1位,クレヨンしんちゃん 爆発!温泉わくわく大決戦,0.711111,5
2位,禁じられた遊び,0.447619,5
3位,水戸黄門 天下の副将軍,0.352381,5
4位,ザ・ロック,0.273016,5
5位,リング0 バースデイ,0.238095,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

28人目への推薦結果
1位,ラストサムライ,0.548148,3
2位,オペラ座の怪人,0.416049,5
3位,アイ.ロボット,0.365432,5
4位,バトル・ロワイアル,0.365432,5
5位,禁じられた遊び,0.290123,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

29人目への推薦結果
1位,水戸黄門 天下の副将軍,0.331410,5
2位,ウォーターボーイズ,0.183333,5
3位,ローマの休日,0.179487,5
4位,アポロ13,0.176282,5
5位,クレヨンしんちゃん ヘンダーランドの大冒険,0.169231,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

30人目への推薦結果
1位,アナザヘヴン,0.836842,3
2位,バトル・ロワイアル,0.582456,3
3位,水戸黄門 天下の副将軍,0.539474,4
4位,オペラ座の怪人,0.533333,3
5位,禁じられた遊び,0.371053,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

31人目への推薦結果
1位,水戸黄門 天下の副将軍,0.636842,5
2位,禁じられた遊び,0.494737,5
3位,リング0 バースデイ,0.263158,5
4位,アポロ13,0.257895,5
5位,日本沈没,0.231579,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

32人目への推薦結果
1位,水戸黄門 天下の副将軍,0.407333,5
2位,マトリックス・レボリューションズ,0.256000,5
3位,天空の城ラピュタ,0.248000,5
4位,日本沈没,0.244667,5
5位,アポロ13,0.216667,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

33人目への推薦結果
1位,水戸黄門 天下の副将軍,0.505376,3
2位,アポロ13,0.268817,5
3位,モスラ,0.247312,4
4位,マトリックス・レボリューションズ,0.240860,3
5位,日本沈没,0.236559,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

34人目への推薦結果
1位,水戸黄門 天下の副将軍,0.614729,4
2位,禁じられた遊び,0.364341,4
3位,マトリックス・レボリューションズ,0.322481,3
4位,天空の城ラピュタ,0.312403,3
5位,プライベート・ライアン,0.233333,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

35人目への推薦結果
1位,オペラ座の怪人,0.475758,4
2位,禁じられた遊び,0.264502,4
3位,天空の城ラピュタ,0.228139,4
4位,プライベート・ライアン,0.170130,3
5位,ピアノ・レッスン,0.143723,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

36人目への推薦結果
1位,水戸黄門 天下の副将軍,0.584553,4
2位,禁じられた遊び,0.413008,4
3位,モスラ,0.168293,3
4位,日本沈没,0.160976,4
5位,ローマの休日,0.136585,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

37人目への推薦結果
1位,水戸黄門 天下の副将軍,0.366667,3
2位,天空の城ラピュタ,0.307801,5
3位,ウォーターボーイズ,0.218440,5
4位,アポロ13,0.195035,5
5位,モスラ,0.179433,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

38人目への推薦結果
1位,禁じられた遊び,0.265537,3
2位,アポロ13,0.251412,3
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.245198,3
4位,天空の城ラピュタ,0.245198,3
5位,プライベート・ライアン,0.179661,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

39人目への推薦結果
1位,水戸黄門 天下の副将軍,0.980556,5
2位,禁じられた遊び,0.913889,5
3位,リング0 バースデイ,0.486111,3
4位,アポロ13,0.372222,5
5位,メカゴジラの逆襲,0.369444,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

40人目への推薦結果
1位,ラストサムライ,1.165217,3
2位,オペラ座の怪人,0.536232,4
3位,バトル・ロワイアル,0.428986,4
4位,禁じられた遊び,0.306522,4
5位,天空の城ラピュタ,0.269565,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

41人目への推薦結果
1位,ラストサムライ,0.784314,3
2位,禁じられた遊び,0.368627,4
3位,水戸黄門 天下の副将軍,0.290196,3
4位,マトリックス・レボリューションズ,0.209150,4
5位,天空の城ラピュタ,0.202614,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

42人目への推薦結果
1位,ラストサムライ,0.948276,5
2位,アナザヘヴン,0.852874,5
3位,オペラ座の怪人,0.512644,5
4位,アイ.ロボット,0.425287,5
5位,禁じられた遊び,0.378161,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

43人目への推薦結果
1位,オペラ座の怪人,0.631905,4
2位,禁じられた遊び,0.313333,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.250952,3
4位,天空の城ラピュタ,0.250952,4
5位,プライベート・ライアン,0.190952,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

44人目への推薦結果
1位,アナザヘヴン,2.120000,3
2位,禁じられた遊び,0.940000,5
3位,水戸黄門 天下の副将軍,0.740000,3
4位,リング0 バースデイ,0.500000,3
5位,メカゴジラの逆襲,0.380000,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

45人目への推薦結果
1位,天空の城ラピュタ,0.711364,5
2位,プライベート・ライアン,0.506818,5
3位,パラサイト・イヴ,0.218182,5
4位,ウォーターボーイズ,0.216667,5
5位,ゲロッパ!,0.135606,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

46人目への推薦結果
1位,アポロ13,0.288889,5
2位,禁じられた遊び,0.261111,5
3位,天空の城ラピュタ,0.241111,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.241111,5
5位,スター・ウォーズ,0.241111,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

47人目への推薦結果
1位,ラストサムライ,1.126984,3
2位,オペラ座の怪人,0.495238,5
3位,禁じられた遊び,0.323280,3
4位,マトリックス・レボリューションズ,0.270899,3
5位,水戸黄門 天下の副将軍,0.254497,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

48人目への推薦結果
1位,アナザヘヴン,0.929825,5
2位,禁じられた遊び,0.508772,4
3位,オペラ座の怪人,0.466667,3
4位,バトル・ロワイアル,0.454386,4
5位,ピアノ・レッスン,0.186842,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

49人目への推薦結果
1位,禁じられた遊び,0.447287,4
2位,マトリックス・レボリューションズ,0.198450,4
3位,プライベート・ライアン,0.161240,4
4位,ローマの休日,0.151938,3
5位,ショーシャンクの空に,0.130233,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

50人目への推薦結果
1位,水戸黄門 天下の副将軍,0.656757,5
2位,禁じられた遊び,0.296396,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.251351,3
4位,天空の城ラピュタ,0.251351,5
5位,ウォーターボーイズ,0.209910,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

51人目への推薦結果
1位,オペラ座の怪人,0.548718,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.264957,3
3位,天空の城ラピュタ,0.264957,5
4位,禁じられた遊び,0.261111,4
5位,水戸黄門 天下の副将軍,0.205556,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

52人目への推薦結果
1位,アイ.ロボット,0.462319,3
2位,バトル・ロワイアル,0.462319,3
3位,オペラ座の怪人,0.385507,3
4位,水戸黄門 天下の副将軍,0.340580,3
5位,日本沈没,0.205072,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

53人目への推薦結果
1位,オペラ座の怪人,0.624444,4
2位,禁じられた遊び,0.138519,5
3位,ピアノ・レッスン,0.133704,4
4位,スーパーの女,0.098519,5
5位,パラサイト・イヴ,0.097778,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

54人目への推薦結果
1位,ラストサムライ,1.000000,4
2位,マトリックス・レボリューションズ,0.266667,4
3位,天空の城ラピュタ,0.258333,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.258333,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.258333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

55人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,マトリックス・レボリューションズ,0.266667,5
3位,天空の城ラピュタ,0.258333,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.258333,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.258333,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

56人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.319394,3
2位,アポロ13,0.240000,4
3位,禁じられた遊び,0.227879,4
4位,プライベート・ライアン,0.213939,4
5位,日本沈没,0.160000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

57人目への推薦結果
1位,スター・ウォーズ エピソード1/ファントム・メナス,0.365455,3
2位,天空の城ラピュタ,0.365455,3
3位,プライベート・ライアン,0.305455,3
4位,ローマの休日,0.203636,3
5位,ショーシャンクの空に,0.174545,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

58人目への推薦結果
1位,オペラ座の怪人,0.495513,3
2位,バトル・ロワイアル,0.448718,3
3位,マトリックス・レボリューションズ,0.307692,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.298077,5
5位,日本沈没,0.173077,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

59人目への推薦結果
1位,ローマの休日,0.196491,5
2位,プライベート・ライアン,0.164035,5
3位,禁じられた遊び,0.154386,5
4位,パラサイト・イヴ,0.115789,5
5位,ピアノ・レッスン,0.108333,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

60人目への推薦結果
1位,マトリックス・レボリューションズ,0.219608,4
2位,天空の城ラピュタ,0.212745,4
3位,アポロ13,0.196078,5
4位,ローマの休日,0.178431,5
5位,ショーシャンクの空に,0.152941,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

61人目への推薦結果
1位,オペラ座の怪人,0.461317,4
2位,禁じられた遊び,0.135802,4
3位,プライベート・ライアン,0.132922,4
4位,時をかける少女,0.104938,4
5位,戦国自衛隊,0.101646,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

62人目への推薦結果
1位,ラストサムライ,1.066667,4
2位,天空の城ラピュタ,0.582222,4
3位,天空の城ラピュタ,0.582222,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.582222,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.582222,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

63人目への推薦結果
1位,ラストサムライ,1.131250,4
2位,オペラ座の怪人,0.566667,5
3位,天空の城ラピュタ,0.545833,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.545833,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.545833,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

64人目への推薦結果
1位,バトル・ロワイアル,0.395122,5
2位,オペラ座の怪人,0.370732,3
3位,ターミネーター2,0.341463,4
4位,ローマの休日,0.204878,5
5位,ショーシャンクの空に,0.175610,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

65人目への推薦結果
1位,禁じられた遊び,0.433333,4
2位,マトリックス・レボリューションズ,0.252121,3
3位,水戸黄門 天下の副将軍,0.246667,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.244242,3
5位,天空の城ラピュタ,0.244242,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

66人目への推薦結果
1位,禁じられた遊び,0.409690,4
2位,プライベート・ライアン,0.184884,3
3位,ローマの休日,0.173643,4
4位,ショーシャンクの空に,0.148837,3
5位,パラサイト・イヴ,0.097674,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

67人目への推薦結果
1位,リング0 バースデイ,0.559028,4
2位,禁じられた遊び,0.446528,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.322917,5
4位,天空の城ラピュタ,0.322917,5
5位,水戸黄門 天下の副将軍,0.231250,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

68人目への推薦結果
1位,天空の城ラピュタ,0.258333,3
2位,ウォーターボーイズ,0.183333,4
3位,アポロ13,0.177083,4
4位,プライベート・ライアン,0.141667,3
5位,禁じられた遊び,0.137500,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

69人目への推薦結果
1位,ラストサムライ,1.155172,4
2位,オペラ座の怪人,0.531609,3
3位,リング0 バースデイ,0.366667,4
4位,マトリックス・レボリューションズ,0.275862,3
5位,天空の城ラピュタ,0.267241,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

70人目への推薦結果
1位,アナザヘヴン,0.714607,3
2位,禁じられた遊び,0.316854,4
3位,12モンキーズ,0.101124,4
4位,パラサイト・イヴ,0.094382,5
5位,バトル・ロワイアル,0.089888,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

71人目への推薦結果
1位,ラストサムライ,0.992000,4
2位,オペラ座の怪人,0.486000,3
3位,アイ.ロボット,0.394667,4
4位,バトル・ロワイアル,0.394667,4
5位,マトリックス・レボリューションズ,0.234667,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

72人目への推薦結果
1位,オペラ座の怪人,0.615873,3
2位,禁じられた遊び,0.273545,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.262434,4
4位,天空の城ラピュタ,0.262434,3
5位,ピアノ・レッスン,0.177249,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

73人目への推薦結果
1位,オペラ座の怪人,0.572300,5
2位,水戸黄門 天下の副将軍,0.330986,3
3位,天空の城ラピュタ,0.305634,5
4位,日本沈没,0.209859,3
5位,パラサイト・イヴ,0.118310,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

74人目への推薦結果
1位,ラストサムライ,1.052381,3
2位,オペラ座の怪人,0.449206,3
3位,アイ.ロボット,0.352381,5
4位,禁じられた遊び,0.298413,5
5位,マトリックス・レボリューションズ,0.253968,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

75人目への推薦結果
1位,オペラ座の怪人,0.562092,4
2位,水戸黄門 天下の副将軍,0.399346,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.324183,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.324183,3
5位,日本沈没,0.239869,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

76人目への推薦結果
1位,オペラ座の怪人,0.608974,3
2位,水戸黄門 天下の副将軍,0.301282,3
3位,天空の城ラピュタ,0.251709,4
4位,アポロ13,0.160256,4
5位,プライベート・ライアン,0.138034,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

77人目への推薦結果
1位,水戸黄門 天下の副将軍,0.587421,4
2位,禁じられた遊び,0.295597,4
3位,マトリックス・レボリューションズ,0.221384,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.214465,3
5位,天空の城ラピュタ,0.214465,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

78人目への推薦結果
1位,ラストサムライ,1.254545,3
2位,天空の城ラピュタ,0.468939,5
3位,プライベート・ライアン,0.344697,5
4位,水戸黄門 天下の副将軍,0.284848,5
5位,マトリックス・レボリューションズ,0.169697,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

79人目への推薦結果
1位,天空の城ラピュタ,0.834167,3
2位,プライベート・ライアン,0.585833,5
3位,リング0 バースデイ,0.338333,5
4位,戦国自衛隊,0.275833,3
5位,パラサイト・イヴ,0.236667,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

80人目への推薦結果
1位,水戸黄門 天下の副将軍,0.524000,5
2位,リング0 バースデイ,0.409333,5
3位,禁じられた遊び,0.305333,5
4位,アポロ13,0.248000,5
5位,スウィングガールズ,0.240000,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

81人目への推薦結果
1位,禁じられた遊び,0.289231,3
2位,アポロ13,0.240513,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.222564,3
4位,スウィングガールズ,0.200000,3
5位,プライベート・ライアン,0.171282,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

82人目への推薦結果
1位,ラストサムライ,1.230769,3
2位,リング0 バースデイ,0.396581,3
3位,天空の城ラピュタ,0.317949,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.317949,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.317949,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

83人目への推薦結果
1位,禁じられた遊び,0.411111,4
2位,日本沈没,0.211852,4
3位,クレヨンしんちゃん ヘンダーランドの大冒険,0.183704,4
4位,最終兵器彼女,0.153333,5
5位,風の谷のナウシカ,0.153333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

84人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,リング0 バースデイ,0.544792,3
3位,禁じられた遊び,0.480208,5
4位,水戸黄門 天下の副将軍,0.269792,5
5位,マトリックス・レボリューションズ,0.266667,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

85人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,天空の城ラピュタ,0.258333,4
3位,アポロ13,0.169271,3
4位,日本沈没,0.148958,3
5位,プライベート・ライアン,0.141667,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

86人目への推薦結果
1位,ローマの休日,0.196491,4
2位,パラサイト・イヴ,0.184649,5
3位,ショーシャンクの空に,0.168421,4
4位,禁じられた遊び,0.154386,4
5位,最終兵器彼女,0.105263,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

87人目への推薦結果
1位,ラストサムライ,2.024691,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.719753,5
3位,天空の城ラピュタ,0.719753,5
4位,プライベート・ライアン,0.513580,5
5位,水戸黄門 天下の副将軍,0.406173,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

88人目への推薦結果
1位,ターミネーター2,0.333333,3
2位,ルパン三世 カリオストロの城,0.055556,3
3位,7月4日に生まれて,0.055556,4
4位,Mr.インクレディブル,0.055556,4
5位,SHINOBI,0.044444,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

89人目への推薦結果
1位,禁じられた遊び,0.387065,4
2位,天空の城ラピュタ,0.246766,4
3位,ローマの休日,0.195025,4
4位,プライベート・ライアン,0.175124,4
5位,A.I.,0.125373,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

90人目への推薦結果
1位,水戸黄門 天下の副将軍,0.286854,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.261972,5
3位,天空の城ラピュタ,0.261972,4
