添字,タイトル,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10,
46,戦国自衛隊1549,深い,0.007848,良い,0.003773,空しい,0.002485,手強い,0.001843,楽しい,0.001823,つらい,0.001684,厳しい,0.001065,素晴らしい,0.001009,切ない,0.000956,若い,0.000800,
47,ゴジラvsメカゴジラ,多い,0.014052,おびただしい,0.012329,暗い,0.006449,悪い,0.005661,難しい,0.003244,細かい,0.003019,大切な,0.002968,良い,0.002627,楽しい,0.002510,逞しい,0.001437,
48,リング,愛らしい,0.004619,懐かしい,0.002650,空しい,0.001715,つまらない,0.001447,良い,0.001443,優しい,0.001198,悪い,0.000967,若い,0.000508,逞しい,0.000488,楽しい,0.000298,
49,戦場のメリークリスマス,愛らしい,0.005013,懐かしい,0.004918,賢い,0.003385,力強い,0.002147,貧しい,0.001550,良い,0.001311,古臭い,0.001066,古臭い,0.001066,空しい,0.000995,楽しい,0.000988,
50,ダ・ヴィンチ・コード,美しい,0.017201,素晴らしい,0.004823,悪い,0.004010,空しい,0.003119,優しい,0.002832,逞しい,0.002805,大切な,0.001357,楽しい,0.000937,珍しい,0.000659,凛々しい,0.000570,
51,アポロ13,暗い,0.157396,空しい,0.013424,良い,0.012060,微笑ましい,0.008359,渋い,0.007014,悪い,0.006208,大切な,0.006104,細かい,0.004401,優しい,0.004257,逞しい,0.003711,
52,スター・ウォーズ エピソード1/ファントム・メナス,懐かしい,0.069003,古い,0.067367,古臭い,0.031190,若い,0.007332,大切な,0.005630,楽しい,0.002348,力強い,0.001066,手強い,0.001060,物足りない,0.001059,怖い,0.000601,
53,ターミネーター,怖い,0.007595,深い,0.005704,古臭い,0.005430,若い,0.005162,悪い,0.004784,楽しい,0.003218,渋い,0.002590,珍しい,0.002473,良い,0.002355,逞しい,0.001471,
54,キングコング対ゴジラ,多い,0.006219,暗い,0.002833,深い,0.002810,細かい,0.002797,楽しい,0.001403,悪い,0.001383,若い,0.001128,逞しい,0.000978,貧しい,0.000578,手強い,0.000550,
55,アイ.ロボット,若い,0.074930,古い,0.013133,暗い,0.007369,古臭い,0.006575,悪い,0.006325,良い,0.001445,逞しい,0.000884,憎い,0.000457,凛々しい,0.000419,優しい,0.000352,
56,スター・ウォーズ エピソード3/シスの復讐,懐かしい,0.069003,古い,0.067367,古臭い,0.031190,若い,0.007332,大切な,0.005630,楽しい,0.002348,空しい,0.001447,手強い,0.001060,物足りない,0.001059,怖い,0.000601,
57,スター・ウォーズ エピソード2/クローンの攻撃,懐かしい,0.069003,古い,0.067367,古臭い,0.031190,若い,0.007332,大切な,0.005630,楽しい,0.002348,空しい,0.001447,手強い,0.001060,物足りない,0.001059,怖い,0.000601,
58,シュリ,深い,0.009081,優しい,0.007996,難しい,0.004193,細かい,0.004147,楽しい,0.003275,凛々しい,0.002561,古臭い,0.001337,珍しい,0.001328,若い,0.001298,つらい,0.000937,
59,アンドリューNDR114,愛らしい,0.007804,怖い,0.007595,古臭い,0.005430,若い,0.005162,悪い,0.004784,楽しい,0.003218,渋い,0.002590,珍しい,0.002473,良い,0.002355,逞しい,0.001471,
60,エイリアン,清々しい,0.012945,古い,0.008427,良い,0.005148,悪い,0.003228,物足りない,0.002100,優しい,0.001357,凛々しい,0.000656,豪華な,0.000350,逞しい,0.000222,空しい,0.000216,
61,電車男,苦しい,0.024970,暗い,0.007510,古い,0.004302,優しい,0.003864,大切な,0.003844,つらい,0.002897,逞しい,0.002635,若い,0.001590,悪い,0.001096,楽しい,0.000927,
62,エイリアン2,ひどい,0.060981,凛々しい,0.021173,悲しい,0.011740,微笑ましい,0.010780,難しい,0.008836,手強い,0.006069,珍しい,0.004565,良い,0.004320,楽しい,0.002912,大切な,0.002763,
63,A.I.,巧い,0.018473,厳しい,0.015447,凛々しい,0.009584,若い,0.006883,良い,0.004013,悪い,0.003122,空しい,0.002180,珍しい,0.001947,優しい,0.001643,物足りない,0.001280,
64,許されざる者,色っぽい,0.029709,若い,0.007166,空しい,0.005120,悪い,0.004556,微笑ましい,0.002695,憎い,0.002369,怖い,0.002291,手強い,0.001570,良い,0.001275,逞しい,0.001262,
65,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,苦しい,0.011394,良い,0.009812,大切な,0.008179,若い,0.005877,楽しい,0.005536,優しい,0.004789,難しい,0.003812,怖い,0.003060,凛々しい,0.003056,逞しい,0.002908,
66,火垂るの墓,厳しい,0.008026,空しい,0.005581,古臭い,0.004336,良い,0.004224,若い,0.002790,大切な,0.002549,逞しい,0.002099,凛々しい,0.001019,楽しい,0.000556,怖い,0.000286,
67,マトリックス,手強い,0.011459,古臭い,0.008910,古臭い,0.008910,凛々しい,0.007258,逞しい,0.005499,空しい,0.004009,優しい,0.003783,楽しい,0.003198,渋い,0.002552,悪い,0.002270,
68,時をかける少女,古い,0.006765,若い,0.005923,美しい,0.004929,可愛い,0.004679,素晴らしい,0.002638,細かい,0.002360,悪い,0.001334,楽しい,0.001284,貧しい,0.001054,渋い,0.001020,
69,アメリ,愛らしい,0.007761,優しい,0.006781,深い,0.005342,逞しい,0.004656,悪い,0.002621,憎い,0.001916,手強い,0.001582,大切な,0.001519,楽しい,0.001108,凛々しい,0.000890,
70,宇宙戦争,深い,0.007949,厳しい,0.002585,つらい,0.000741,難しい,0.000603,逞しい,0.000571,苦しい,0.000455,切ない,0.000416,悪い,0.000395,手強い,0.000275,楽しい,0.000255,
71,スウィングガールズ,温かい,0.011441,懐かしい,0.011387,貧しい,0.007704,古い,0.004460,珍しい,0.004268,若い,0.003368,悪い,0.003149,楽しい,0.001645,大切な,0.000925,憎い,0.000684,
72,ぼくらの七日間戦争,若い,0.007330,懐かしい,0.004192,偉い,0.003301,細かい,0.002394,古臭い,0.002256,古臭い,0.002256,空しい,0.002062,悪い,0.001811,渋い,0.000987,優しい,0.000624,
73,クレヨンしんちゃん 爆発!温泉わくわく大決戦,深い,0.112299,若い,0.014154,素晴らしい,0.006930,優しい,0.005255,古臭い,0.004881,空しい,0.004518,逞しい,0.003411,手強い,0.002678,怖い,0.002212,凛々しい,0.001330,
74,ゲロッパ!,珍しい,0.049648,古臭い,0.010194,悪い,0.007408,良い,0.005857,空しい,0.005289,難しい,0.004619,細かい,0.004392,逞しい,0.003889,物足りない,0.002447,楽しい,0.001654,
75,裏窓,愛らしい,0.005626,細かい,0.002110,空しい,0.001474,優しい,0.001437,悪い,0.001035,古臭い,0.000945,貧しい,0.000780,手強い,0.000764,若い,0.000719,逞しい,0.000438,
76,シックス・センス,力強い,0.054769,懐かしい,0.019877,憎い,0.018266,苦しい,0.016908,良い,0.015857,優しい,0.013428,逞しい,0.011583,つらい,0.009697,手強い,0.009252,空しい,0.008755,
77,7月4日に生まれて,懐かしい,0.014447,悪い,0.010143,楽しい,0.006031,若い,0.005466,良い,0.004213,大切な,0.003802,素晴らしい,0.003149,微笑ましい,0.002616,手強い,0.002594,逞しい,0.002520,
78,クリムゾン・タイド,憎い,0.013777,手強い,0.013392,逞しい,0.005050,悪い,0.003797,暗い,0.002988,ひどい,0.002846,貧しい,0.002844,怖い,0.002838,良い,0.002078,若い,0.001920,
79,バットマン,いかがわしい,0.017673,ひどい,0.015842,理不尽な,0.011276,理不尽な,0.011276,理不尽な,0.011276,理不尽な,0.011276,理不尽な,0.011276,悪い,0.007385,大切な,0.003257,渋い,0.000700,
80,蝶の舌,貧しい,0.012773,悪い,0.010345,深い,0.004045,逞しい,0.002569,物足りない,0.001817,楽しい,0.001659,孤独な,0.001155,微笑ましい,0.001060,大切な,0.000885,優しい,0.000420,
81,ハウルの動く城,おかしい,0.018050,珍しい,0.017639,逞しい,0.007103,良い,0.005164,悪い,0.003356,手強い,0.002737,若い,0.002707,凛々しい,0.002030,憎い,0.001795,眩い,0.001198,
82,シェーン,潔い,0.011804,古臭い,0.005926,古臭い,0.005926,ひどい,0.005000,逞しい,0.003400,つらい,0.002407,力強い,0.002212,良い,0.001877,若い,0.001723,空しい,0.001431,
83,バトル・ロワイアル,若い,0.074930,古い,0.013133,暗い,0.007369,古臭い,0.006575,悪い,0.006325,良い,0.001445,逞しい,0.000884,憎い,0.000457,凛々しい,0.000419,優しい,0.000352,
84,劇場版ポケットモンスター ミュウツーの逆襲,空しい,0.008761,眩い,0.005858,悪い,0.005604,珍しい,0.003497,嬉しい,0.003129,深い,0.003092,逞しい,0.002817,可愛い,0.002380,優しい,0.002081,微笑ましい,0.001677,
85,リング0 バースデイ,悪い,0.049437,良い,0.025852,大切な,0.019191,つらい,0.007937,古臭い,0.007491,細かい,0.006226,渋い,0.005436,若い,0.005205,楽しい,0.004285,力強い,0.003628,
86,日本沈没,美しい,0.033979,若い,0.009181,力強い,0.004809,眩い,0.003601,悪い,0.003166,良い,0.002492,派手な,0.001883,派手な,0.001883,楽しい,0.001632,逞しい,0.000664,
87,ハンニバル,多い,0.006377,古い,0.004720,若い,0.004378,凛々しい,0.002981,優しい,0.002160,深い,0.002030,大切な,0.001979,悪い,0.001669,細かい,0.001269,楽しい,0.000994,
88,スタンド・バイ・ミー,嬉しい,0.011882,悲しい,0.006132,悪い,0.003865,珍しい,0.001924,大切な,0.001055,良い,0.000841,凛々しい,0.000765,楽しい,0.000572,逞しい,0.000496,手強い,0.000364,
89,クレヨンしんちゃん 嵐を呼ぶ 栄光のヤキニクロード,暗い,0.024589,苦しい,0.009214,手強い,0.007120,古い,0.003926,凛々しい,0.003470,楽しい,0.002829,悪い,0.001722,逞しい,0.001671,優しい,0.001096,良い,0.001017,
90,ゾンビ,細かい,0.013690,つらい,0.008688,若い,0.004289,良い,0.002603,楽しい,0.001813,逞しい,0.001499,古臭い,0.001295,優しい,0.001196,眩い,0.000804,物足りない,0.000783,
91,マトリックス・レボリューションズ,初々しい,0.020713,古臭い,0.016126,古臭い,0.016126,珍しい,0.007265,若い,0.004969,良い,0.001589,手強い,0.000761,逞しい,0.000654,微笑ましい,0.000308,幸せな,0.000262,
92,モスラ,強い,0.018239,清々しい,0.008920,怖い,0.006316,悪い,0.006008,逞しい,0.003776,難しい,0.002390,良い,0.002244,若い,0.001978,楽しい,0.001759,空しい,0.000729,
93,バック・トゥ・ザ・フューチャー,暗い,0.047308,苦しい,0.010349,清々しい,0.006797,優しい,0.002498,若い,0.001438,悪い,0.001095,大切な,0.000565,手強い,0.000319,空しい,0.000280,物足りない,0.000276,
94,クレヨンしんちゃん アクション仮面VSハイグレ魔王,愛らしい,0.003919,暗い,0.002455,空しい,0.001644,優しい,0.001106,凛々しい,0.000579,逞しい,0.000559,悪い,0.000348,切ない,0.000274,若い,0.000216,楽しい,0.000209,
95,メカゴジラの逆襲,細かい,0.031670,良い,0.019200,難しい,0.010037,楽しい,0.009911,悪い,0.006675,つらい,0.004594,優しい,0.004589,凛々しい,0.004389,渋い,0.003130,空しい,0.002564,
96,ファインディング・ニモ,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456,
97,砂の器,暗い,0.157396,苦しい,0.009725,清々しい,0.004366,楽しい,0.003607,憎い,0.003232,物足りない,0.002751,悪い,0.002260,手強い,0.001480,優しい,0.001133,良い,0.000739,
98,永遠に美しく…,色っぽい,0.018378,可愛い,0.018220,憎い,0.014762,若い,0.014593,良い,0.011010,悪い,0.008540,逞しい,0.007960,楽しい,0.005811,古臭い,0.003981,眩い,0.003620,
99,ピアノ・レッスン,若い,0.019648,面白い,0.009601,良い,0.008100,憎い,0.006264,珍しい,0.003809,優しい,0.003778,大切な,0.003131,楽しい,0.002764,凛々しい,0.001625,逞しい,0.001075,
100,ローレライ,惜しい,0.018066,手強い,0.013873,苦しい,0.004397,逞しい,0.003732,怖い,0.003297,悪い,0.003092,凛々しい,0.002040,たまらない,0.001891,たまらない,0.001891,たまらない,0.001891,
101,Mr.インクレディブル,懐かしい,0.014447,悪い,0.010143,楽しい,0.006031,若い,0.005466,良い,0.004213,大切な,0.003802,素晴らしい,0.003149,微笑ましい,0.002616,手強い,0.002594,逞しい,0.002520,
102,ゴジラの逆襲,愛らしい,0.003647,逞しい,0.002490,良い,0.002051,細かい,0.001517,楽しい,0.001253,優しい,0.000780,悪い,0.000776,凄い,0.000491,つらい,0.000450,古臭い,0.000322,
103,プライベート・ライアン,古い,0.056698,古臭い,0.017428,良い,0.008606,悪い,0.006598,逞しい,0.004748,貧しい,0.002536,難しい,0.002425,楽しい,0.002366,切ない,0.001203,豪華な,0.001030,
104,呪怨,愛らしい,0.008136,偉い,0.005436,苦しい,0.004874,難しい,0.002817,物足りない,0.002718,良い,0.002526,楽しい,0.002316,微笑ましい,0.001275,悪い,0.001244,眩い,0.000922,
105,スパイダーマン2,青白い,0.015704,深い,0.005985,渋い,0.003141,細かい,0.002125,空しい,0.001920,楽しい,0.001466,悪い,0.001239,若い,0.001112,良い,0.000730,優しい,0.000555,
106,バットマン・フォーエヴァー,悲しい,0.020055,切ない,0.007080,渋い,0.005130,凛々しい,0.004255,古臭い,0.002198,悪い,0.001865,細かい,0.001640,楽しい,0.001623,怖い,0.001274,逞しい,0.000996,
107,マイノリティ・リポート,悪い,0.011361,優しい,0.006875,渋い,0.004802,良い,0.004305,微笑ましい,0.003314,楽しい,0.003227,大切な,0.002673,細かい,0.001630,つらい,0.001397,凛々しい,0.001257,
108,ロッキー,強い,0.166278,手強い,0.115193,逞しい,0.099888,凛々しい,0.008692,悪い,0.007231,優しい,0.004194,若い,0.002419,丁寧な,0.001392,大切な,0.001220,楽しい,0.000859,
109,ルパン三世 カリオストロの城,懐かしい,0.014447,悪い,0.010143,楽しい,0.006031,若い,0.005466,良い,0.004213,大切な,0.003802,素晴らしい,0.003149,微笑ましい,0.002616,手強い,0.002594,逞しい,0.002520,
110,ロボコップ,怖い,0.007595,古臭い,0.005430,若い,0.005162,悪い,0.004784,楽しい,0.003218,渋い,0.002590,珍しい,0.002473,良い,0.002355,逞しい,0.001471,物足りない,0.000706,
111,銀河鉄道の夜,美しい,0.017223,暗い,0.007703,若い,0.005645,悪い,0.005108,楽しい,0.004057,切ない,0.002051,良い,0.001863,空しい,0.001209,珍しい,0.001163,幸せな,0.000831,
112,ULTRAMAN,古臭い,0.006386,古臭い,0.006386,手強い,0.002187,優しい,0.002068,逞しい,0.001670,若い,0.001208,楽しい,0.000815,悪い,0.000727,大切な,0.000624,ひどい,0.000336,
113,スター・ウォーズ,懐かしい,0.069003,古い,0.067367,古臭い,0.031190,若い,0.007332,大切な,0.005630,楽しい,0.002348,空しい,0.001447,手強い,0.001060,物足りない,0.001059,怖い,0.000601,
114,CASSHERN,切ない,0.011045,細かい,0.008238,古臭い,0.005159,良い,0.005146,物足りない,0.004686,優しい,0.004621,悪い,0.004614,楽しい,0.001883,微笑ましい,0.001423,怖い,0.001355,
115,走れメロス,若い,0.015090,古臭い,0.006218,厳しい,0.002349,素晴らしい,0.002163,悪い,0.002103,手強い,0.001164,空しい,0.001154,珍しい,0.000726,物足りない,0.000495,優しい,0.000492,
116,パール・ハーバー,愛らしい,0.006693,強い,0.004232,深い,0.002865,力強い,0.002738,空しい,0.002146,良い,0.001316,古臭い,0.000840,悪い,0.000741,眩い,0.000576,楽しい,0.000507,
117,男たちの大和/YAMATO,貧しい,0.008965,深い,0.002525,細かい,0.002504,つらい,0.002298,物足りない,0.001989,良い,0.001968,凛々しい,0.000947,豪華な,0.000721,悪い,0.000590,憎い,0.000438,
118,千と千尋の神隠し,偉い,0.005614,若い,0.003031,逞しい,0.001757,良い,0.001559,優しい,0.001001,凛々しい,0.000799,憎い,0.000610,悪い,0.000594,空しい,0.000486,大切な,0.000293,
119,のび太の恐竜,愛らしい,0.013090,空しい,0.008957,悪い,0.005451,優しい,0.003704,良い,0.003495,つらい,0.002488,逞しい,0.002117,手強い,0.001258,凄い,0.000969,ひどい,0.000834,
120,トイ・ストーリー2,悪い,0.006609,古臭い,0.003616,若い,0.002755,渋い,0.002218,良い,0.001855,楽しい,0.001423,凛々しい,0.001100,難しい,0.000654,細かい,0.000517,怖い,0.000476,
121,オペラ座の怪人,若い,0.076477,おびただしい,0.012872,古臭い,0.011650,暗い,0.007274,細かい,0.004819,悪い,0.003940,清々しい,0.001678,渋い,0.001669,つらい,0.001061,楽しい,0.001037,
122,パッチギ!,温かい,0.011856,美しい,0.009440,恐ろしい,0.005384,深い,0.003631,若い,0.002945,つらい,0.002361,良い,0.002330,楽しい,0.001636,珍しい,0.000928,優しい,0.000876,
123,宇宙戦艦ヤマト 完結編,美しい,0.021572,多い,0.021341,暗い,0.009765,珍しい,0.007236,空しい,0.005212,物足りない,0.002555,良い,0.001861,若い,0.001145,悪い,0.000896,楽しい,0.000820,
124,クレヨンしんちゃん ヘンダーランドの大冒険,暗い,0.233803,苦しい,0.012409,良い,0.011102,楽しい,0.006567,悪い,0.005073,孤独な,0.004677,凛々しい,0.004331,若い,0.002992,手強い,0.002083,優しい,0.002076,
125,風の谷のナウシカ,貧しい,0.022485,良い,0.010552,おびただしい,0.005556,つまらない,0.005187,大切な,0.005050,切ない,0.004543,手強い,0.003606,難しい,0.003233,悪い,0.003154,凛々しい,0.002356,
126,ザ・フライ,多い,0.006007,難しい,0.004733,良い,0.004420,渋い,0.003004,貧しい,0.002586,若い,0.002383,逞しい,0.002191,怖い,0.001574,悪い,0.001485,手強い,0.000971,
127,ダイ・ハード,悲しい,0.033003,懐かしい,0.017448,切ない,0.014154,古い,0.013670,憎い,0.010237,若い,0.008300,空しい,0.005390,凛々しい,0.003677,悪い,0.003224,大切な,0.003021,
128,ゴジラvsスペースゴジラ,憎い,0.018086,深い,0.016742,暗い,0.012213,楽しい,0.011987,素晴らしい,0.010987,微笑ましい,0.010479,怖い,0.007406,空しい,0.006996,優しい,0.004974,悪い,0.004961,
